state,state_abbrev,statefips,state_pop2019,date,close_nonessential_bus,begin_reopen,mandate_mask,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss65,merchants_ss70,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,new_death_rate,governor_party,gov_inaug_date,begin_shelter_in_place
Alabama,AL,1,4903185,10jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00067400001,-.0099499999,.0046799998,-.0047399998,.0016,-.0049999999,-.0035000001,,,,,,,,,,,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,11jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0104,-.0155,-.0078299996,-.0122,-.0114,-.0097599998,-.0147,,,,,,,,,,,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,12jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0114,-.016899999,-.0085699996,-.0135,-.0124,-.0122,-.017000001,,,,,,,,,,,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,13jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0134,-.0187,-.0121,-.0136,-.0139,-.0122,-.0143,-.018300001,.061900001,.0088299997,.0065899999,.014,.00136,.0218,-.00102,.0091399997,.0090300003,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,14jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0139,-.0178,-.0151,-.0114,-.0147,-.0115,-.0156,-.0097000003,.080300003,.0098200003,.0089299995,.0065799998,.00134,.0154,.0012000001,.0107,.0097599998,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,15jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0149,-.0136,-.0167,-.013,-.016799999,-.0102,-.017200001,-.00113,.098800004,.0108,.0113,-.00083799998,.00132,.0090399999,.00343,.0123,.0105,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,16jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0165,-.0117,-.018999999,-.0146,-.0155,-.0146,-.0187,.0074499999,.117,.0118,.0136,-.00825,.0013,.0026799999,.0056500002,.0139,.0112,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,17jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0137,-.0149,-.0155,-.0113,-.012,-.0151,-.0146,.016000001,.13600001,.0128,.015900001,-.015699999,.00128,-.0036899999,.0078800004,.0155,.0119,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,18jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00398,-.0074300002,-.0061400002,-.00054400001,.00186,-.0125,-.0041100001,.024599999,.154,.0138,.018300001,-.0231,.00126,-.0101,.0101,.017100001,.0127,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,19jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0031099999,-.0059799999,-.0051500001,-4.5100001e-06,.0040000002,-.0162,.000045199999,.033199999,.17200001,.0147,.0206,-.0305,.0012300001,-.0164,.0123,.0187,.0134,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,20jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0039499998,-.00496,-.0043500001,-.0034,.0024600001,-.0151,-.0014600001,.026900001,.142,.0128,.015900001,-.0275,.0051000002,-.013,.0128,.015900001,.0117,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,21jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0020900001,-.00020900001,-.0052800002,.0011699999,.00196,-.0093700001,.00242,.0207,.111,.0109,.0113,-.024499999,.0089600002,-.0095600002,.0132,.0132,.0099999998,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,22jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00321,-.0023000001,-.00709,.00112,.00191,-.0151,.00153,.0145,.080399998,.00899,.00661,-.021400001,.0128,-.0061400002,.0137,.0105,.00832,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,23jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00113,.00148,-.0040000002,.00165,.00263,-.0106,.0037799999,.0082200002,.049800001,.0070799999,.00194,-.0184,.0167,-.0027099999,.0141,.0077300002,.0066300002,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,24jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00113,.0055300002,-.0038399999,.00055599998,.0023000001,-.0132,.0048000002,.0019799999,.019099999,.0051600002,-.0027300001,-.0154,.020500001,.000718,.0146,.0049999999,.0049399999,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,25jan2020,28mar2020,30apr2020,16jul2020,,,,,,,.0022100001,.0126,-.00158,.0043799998,.00606,-.00721,.0091199996,-.0042599998,-.0116,.00324,-.0074,-.0124,.0244,.0041399999,.0151,.00226,.0032500001,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,26jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.000401,.0103,-.0037700001,.00127,.00111,-.0047900002,.0078999996,-.0105,-.042199999,.00133,-.0121,-.0093200002,.0283,.0075699999,.0155,-.00047200001,.00156,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,27jan2020,28mar2020,30apr2020,16jul2020,,,,,,,.00033499999,.0032500001,-.0022100001,.00291,.00163,-.0063700001,.0029,-.0095499996,-.0682,-.0081000002,.0078400001,-.037700001,.0162,.0076100002,.0060800002,-.0082599996,-.0098099997,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,28jan2020,28mar2020,30apr2020,16jul2020,,,,,,,-.00118,.00124,-.00119,-.0015,.00056900003,-.0122,.0044900002,-.0125,-.039000001,-.0221,-.0115,-.093999997,-.025699999,-.032000002,.0124,-.026699999,-.0264,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,29jan2020,28mar2020,30apr2020,16jul2020,,,,,,,.0164,.029999999,.014,.016000001,.0109,.038800001,.0151,.0126,.00028000001,-.021500001,-.0242,-.064900003,.0106,-.0111,.0030199999,-.015699999,-.032099999,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,30jan2020,28mar2020,30apr2020,16jul2020,,,,,,,.017999999,.0262,.0155,.018999999,.0104,.039799999,.016100001,.0142,-.093000002,-.0197,-.015699999,-.054900002,-.0447,-.0097500002,-.00679,-.0115,-.0298,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,31jan2020,28mar2020,30apr2020,16jul2020,,,,,,,.015799999,.0228,.013,.0173,.0079399999,.035599999,.0151,.0099999998,-.119,-.0088799996,.0073299999,-.029200001,-.0195,-.022,-.0089199999,-.00050700002,-.016100001,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,01feb2020,28mar2020,30apr2020,16jul2020,,,,,,,.0141,.0199,.0108,.0166,.0054100002,.033300001,.0132,.0062699998,-.139,-.0232,.0059000002,-.0118,-.0352,-.0156,-.018300001,-.0222,-.026000001,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,02feb2020,28mar2020,30apr2020,16jul2020,,,,,,,.0124,.022299999,.0077300002,.0155,.00352,.030099999,.0136,.00352,-.12,-.022700001,-.0111,.0187,-.030400001,-.0187,-.0232,-.0242,-.0222,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,03feb2020,28mar2020,30apr2020,16jul2020,,,,,,,.0151,.0283,.0109,.016899999,.0068199998,.029100001,.0174,-.0049100001,-.066200003,-.0057700002,-.031300001,.040199999,-.0147,-.0166,-.0011,-.0030700001,-.0104,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,04feb2020,28mar2020,30apr2020,16jul2020,,,,,,,.0149,.0285,.0108,.0166,.0065000001,.029899999,.0174,-.000049099999,-.098499998,.0111,-.012,.117,.023700001,.0265,-.0027000001,.016899999,.0090899998,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,05feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0052700001,-.00349,-.0079500005,-.00241,-.0071100001,-.0184,.0085800001,-.0263,-.109,-.0089999996,-.071400002,.076099999,-.056000002,-.0217,-.0060800002,-.0067799999,-.0126,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,06feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0128,-.00404,-.017200001,-.0094900001,-.0135,-.0218,.0011399999,-.035100002,-.059999999,-.017999999,-.093000002,.055300001,-.0195,-.041200001,-.0187,-.0129,-.023,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,07feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0128,-.0032800001,-.017899999,-.0088,-.0128,-.0164,-.00129,-.033300001,.0173,-.0208,-.078599997,.0537,-.0385,-.0319,-.0085199997,-.014,-.031099999,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,08feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0128,-.0030499999,-.017200001,-.0098099997,-.0128,-.015900001,-.000045799999,-.0242,.0977,-.00089999998,-.079000004,.049699999,-.030999999,-.025800001,.0047800001,.0104,-.0134,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,09feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0117,-.0051500001,-.0149,-.0092200004,-.0103,-.0166,.00182,-.015,.093099996,.00196,-.081600003,.051199999,-.0261,-.0309,-.00082299998,.020300001,-.0142,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,10feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0153,-.0128,-.0188,-.0116,-.0135,-.017999999,-.0026,-.0115,.053100001,-.0197,-.084899999,.039900001,-.059500001,-.038699999,-.037500001,-.00324,-.030400001,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,11feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.016899999,-.0128,-.0222,-.0114,-.0143,-.023,-.00266,-.0233,.075900003,-.021299999,-.0623,.035300002,-.092799999,-.061099999,-.027799999,-.0094600003,-.031399999,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,12feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0118,-.0047599999,-.017000001,-.0071999999,-.0085199997,-.021600001,-.000611,-.032000002,.126,-.0084899999,-.0115,.058899999,-.069399998,-.048099998,-.0296,.0066900002,-.017899999,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,13feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0154,-.00825,-.021600001,-.0097099999,-.0104,-.026799999,-.00153,-.0233,.17200001,-.0062299999,.0208,.0493,-.112,-.064099997,-.021500001,.0042500002,-.0135,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,14feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.0154,-.0090800002,-.0219,-.0092900004,-.0104,-.0286,-.00115,-.035,.115,-.00611,.014,.0429,-.093599997,-.071199998,-.034000002,.0066999998,-.0119,0,Republican,10-Apr-17,04apr2020
Alabama,AL,1,4903185,15feb2020,28mar2020,30apr2020,16jul2020,,,,,,,-.014,-.0099999998,-.019400001,-.0086000003,-.0080399998,-.025699999,-.0023399999,-.033799998,.056200001,-.016100001,-.0209,.033,-.086199999,-.0867,-.038600001,-.0029899999,-.023700001,0,Republican,10-Apr-17,04apr2020
